street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 2,sec-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Styrene,0.39600000000000002,0.23499999999999999,1.69,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Tetrachloroethene,0.82499999999999996,3.6999999999999998E-2,5.59,0.25,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Tetrahydrofuran,11.2,0.33900000000000002,33,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Toluene,2.64,0.26600000000000001,9.9,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Trichloroethene,ND,3.6999999999999998E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Trichlorofluoromethane,0.32500000000000001,0.17799999999999999,1.82,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Vinyl Chloride,ND,7.8E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,% Bromofluorobenzene,96,%,96,%,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 4,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,1-Dichloroethane",ND,0.247,ND,1,2018-08-07T04:00:00Z,KCA,1
